PLAYER_NAME,GP,availability_rate,FT_PCT,total_score,z_pts,z_ast,z_reb,z_stl,z_blk,z_fg_pct,z_ft_pct,z_fg3m,z_tov
Robert Williams III,20,0.24390243902439024,0.882,4.900582367141262,-0.4704270215195274,-0.5419749707197098,0.9520706035355148,0.07473977585839191,3.1999391455036768,1.7015346401168387,0.8077891186131073,-1.0516089972073643,0.22852007296033416
Michael Porter Jr.,77,0.9390243902439024,0.768,4.890394494452158,1.419100983167469,0.00812092357125513,1.4065405476728534,-0.16284085242889915,0.23894382289910904,0.5054291167652479,0.23849881355386393,1.6117390120403672,-0.3751378727891094
Zach LaVine,74,0.9024390243902439,0.825,4.874463366566628,2.196245565740347,1.1633223015822816,0.2910234120630217,0.3123204041456832,-0.5013050077520328,0.5665439975204388,0.5231439660834853,2.388548848070956,-2.0653801208875517
Jaden McDaniels,82,1.0,0.813,4.821866528074963,0.5048132389640836,-0.04688866585784141,0.869439704601453,1.5002235455821387,1.2259422637672983,0.26970029099522624,0.46321867081409124,0.16909217369784588,-0.13367469448933197
Brandon Ingram,18,0.21951219512195122,0.855,4.6717223567050965,2.028626145969726,1.7134181958732464,0.8281242551344221,0.5499010324329743,0.4856934331161563,0.1649319239863282,0.6729572042569706,1.5007661783217114,-3.272696012386439
Jaylen Brown,63,0.7682926829268293,0.764,4.652826367705226,2.028626145969726,1.3283510698695709,0.9107551540684837,1.2626429172948475,-0.2545553975349856,0.1474705294848451,0.21852371513073254,0.8349291760097788,-1.8239169425877744
Norman Powell,60,0.7317073170731707,0.804,4.631314753086698,1.9676736296895005,0.00812092357125513,-0.16344653207431697,1.2626429172948475,-0.5013050077520328,0.3308151717504171,0.41827469936204625,2.1666031806336443,-0.8580642293886644
CJ McCollum,56,0.6829268292682927,0.717,4.622464006101343,1.8610067261991057,1.1083127121531846,0.08444616472786769,0.3123204041456832,-0.007805787317938198,-0.01841271827924427,-0.016183691341061023,2.2775760143522996,-0.978795818538553
Coby White,74,0.9024390243902439,0.902,4.615422382853246,1.7543398227087101,1.3283510698695709,0.04313071526083703,0.5499010324329743,-0.5013050077520328,0.06016355697742964,0.9076646107287641,2.055630346914989,-1.5824537642879968
Andrew Wiggins,60,0.7317073170731707,0.763,4.58365010290599,1.3886247250273562,0.2831688707167376,0.3736543109970834,0.7874816607202653,0.9791926535502511,0.01651007072372191,0.2135299405249497,1.2788205108844009,-0.7373326402387756
Malik Monk,65,0.7926829268292683,0.865,4.566439534993131,1.2667196924669049,1.933456553589632,0.08444616472786769,0.5499010324329743,0.4856934331161563,-0.062066204532951995,0.722894950314799,1.1678476771657453,-1.5824537642879968
Naz Reid,80,0.975609756097561,0.776,4.542655496152418,0.809575820365212,0.11814010242944796,0.9933860530025455,0.07473977585839191,1.2259422637672983,0.13873983223410355,0.27844901040012665,1.2788205108844009,-0.3751378727891094
Tobias Harris,73,0.8902439024390244,0.861,4.523298227916721,0.73338517501493,0.06313051300035168,0.9520706035355148,0.7874816607202653,0.9791926535502511,0.26970029099522624,0.7029198518916676,0.16909217369784588,-0.13367469448933197
Lauri Markkanen,47,0.573170731707317,0.876,4.494635579360038,1.5410060157279204,-0.3219366130033239,0.9520706035355148,0.07473977585839191,-0.007805787317938198,-0.20175736054481672,0.7778264709784103,2.055630346914989,-0.3751378727891094
Anfernee Simons,70,0.8536585365853658,0.902,4.422070824749403,1.58672040293809,1.4933798381568602,-0.370023779409471,0.5499010324329743,-0.74805461796908,-0.1755652687925921,0.9076646107287641,2.2775760143522996,-1.0995274076884418
Draymond Green,68,0.8292682926829268,0.687,4.4195794792240015,0.017193108722278142,1.933456553589632,1.034701502469576,1.9753848021567209,1.4726918739843458,-0.19302666329407517,-0.16599692951454573,0.16909217369784588,-1.8239169425877744
DeMar DeRozan,77,0.9390243902439024,0.857,4.367870369086688,2.028626145969726,1.2733414804404746,0.12576161419489854,0.3123204041456832,-0.007805787317938198,0.26970029099522624,0.6829447534685363,0.05811933997919054,-0.3751378727891094
Kelly Oubre Jr.,60,0.7317073170731707,0.751,4.315717210359306,0.9467189819957199,-0.15690784471603436,1.034701502469576,1.9753848021567209,0.23894382289910904,0.20858541024003543,0.15360464525555562,0.16909217369784588,-0.2544062836392208
Ja Morant,50,0.6097560975609756,0.824,4.289366631705439,2.1810074366702903,2.8686195738842724,0.20839251312896,1.2626429172948475,-0.5013050077520328,0.06889425422817118,0.5181501914777025,0.8349291760097788,-3.1519644232365502
Toumani Camara,78,0.9512195121951219,0.722,4.264054674096293,0.367670077333576,0.06313051300035168,0.9107551540684837,1.9753848021567209,0.4856934331161563,0.10381704323113737,0.008785181687853187,0.7239563422911233,-0.3751378727891094
Mikal Bridges,82,1.0,0.814,4.220337451982055,1.3276722087471309,0.888274354436799,-0.16344653207431697,0.5499010324329743,0.23894382289910904,0.4705063277622818,0.4682124454198741,1.0568748434470898,-0.6166010510888871
Deandre Ayton,40,0.4878048780487805,0.667,4.189663384632501,0.840052078505325,-0.2669270235742273,2.728634930617839,0.3123204041456832,1.4726918739843458,1.0467323463112228,-0.2658724216302026,-0.9406361634887089,-0.7373326402387756
Jrue Holiday,62,0.7560975609756098,0.909,4.149526531482145,0.337193819193463,0.9982935332949919,0.2910234120630217,1.0250622890075567,-0.007805787317938198,-0.027143415529985816,0.942621032969244,0.7239563422911233,-0.13367469448933197
Keon Ellis,80,0.975609756097561,0.849,4.143082898403916,-0.08947379476811672,-0.3219366130033239,-0.370023779409471,1.9753848021567209,0.9791926535502511,0.37446865800412477,0.6429945566222736,0.7239563422911233,0.22852007296033416
Al Horford,60,0.7317073170731707,0.895,4.130536895350664,0.017193108722278142,0.00812092357125513,1.0760169519366072,-0.16284085242889915,1.2259422637672983,-0.20175736054481672,0.8727081884882842,0.9459020097284342,0.34925166211022285
Deni Avdija,72,0.8780487804878049,0.78,4.1149127313662515,1.2210053052567353,0.9982935332949919,1.5304868960739457,0.7874816607202653,0.23894382289910904,0.2609695937444847,0.29842410882325804,0.7239563422911233,-1.9446485317376632
Bradley Beal,53,0.6463414634146342,0.803,4.091094170019172,1.236243434326792,0.888274354436799,-0.12213108260728632,1.0250622890075567,0.23894382289910904,0.44431423601005715,0.4132809247562634,0.9459020097284342,-0.978795818538553
Alex Sarr,67,0.8170731707317073,0.679,3.9957671258053176,0.6267182715245351,0.1731496918585445,1.1999633003376995,0.07473977585839191,2.7064399250695823,-0.4549475808163211,-0.20594712636080847,0.612983508572468,-0.7373326402387756
Cason Wallace,68,0.8292682926829268,0.811,3.983557226152081,-0.07423566569806034,0.22815928128764104,-0.08081563314025549,2.688126687018594,0.23894382289910904,0.2435081992430016,0.4532311216025261,0.05811933997919054,0.22852007296033416
Bobby Portis,49,0.5975609756097561,0.836,3.968751216606419,0.763861433155043,0.00812092357125513,1.9849568402112847,0.07473977585839191,0.23894382289910904,0.17366262123706974,0.5780754867470966,0.2800650074165014,-0.13367469448933197
Immanuel Quickley,33,0.4024390243902439,0.867,3.9517229336604425,1.2514815633968486,2.043475732447825,-0.039500183673224644,0.07473977585839191,-0.74805461796908,-0.22794945229704136,0.7328824995263648,1.7227118457590227,-0.8580642293886644
Jalen Green,82,1.0,0.813,3.8932358823870388,1.845768597129049,0.7232455861495094,0.41496976046411405,0.5499010324329743,-0.2545553975349856,-0.20175736054481672,0.46321867081409124,2.055630346914989,-1.7031853534378856
Jerami Grant,47,0.573170731707317,0.849,3.8506235301750027,0.840052078505325,0.00812092357125513,-0.039500183673224644,0.5499010324329743,1.4726918739843458,-0.6382922230818935,0.6429945566222736,1.389793344603056,-0.3751378727891094
Herbert Jones,20,0.24390243902439024,0.825,3.8088783161421516,0.21528878663301176,0.6682359967204129,0.12576161419489854,2.925707315305885,0.23894382289910904,-0.08825829628517663,0.5231439660834853,0.05811933997919054,-0.8580642293886644
Donte DiVincenzo,62,0.7560975609756098,0.778,3.7191105575657826,0.42862259361380145,0.8332647650077025,0.04313071526083703,1.2626429172948475,-0.2545553975349856,-0.21048805779555826,0.28843655961169234,1.9446575131963333,-0.6166010510888871
Nic Claxton,70,0.8536585365853658,0.513,3.660155844401391,0.21528878663301176,0.06313051300035168,1.5718023455409769,0.5499010324329743,2.4596903148525344,1.020540254558998,-1.0349137109207596,-1.0516089972073643,-0.13367469448933197
